Year,Recession (1=Yes),Fortune Headcount Chg (%),Consulting Rev Spike (YoY %),Severance Costs ($B),Announcements (#/Yr),RWI,% to Tip,Notes
2000,0,1.2,5,1.2,50,22,22,Stable growth; pre-dotcom buildup.
2001,1,-3.5,18,2.5,120,65,65,Pre-recession spike; McKinsey rev +20%; headcount -4% Fortune.
2002,1,-5.8,12,3.8,150,78,78,Peak cuts; consulting +15% on restructurings.
2003,1,-2.1,8,2.1,90,45,45,"Recovery; ""rebalancing"" euphemisms emerge."
2004,0,2.0,6,1.5,60,28,28,Expansion; low announcements.
2005,0,1.8,7,1.8,70,32,32,Pre-housing bubble calm.
2006,0,0.5,10,2.0,80,40,40,Early consulting uptick.
2007,1,-2.3,25,4.2,180,82,82,Pre-GFC surge; Deloitte/McKinsey rev +25%; Fortune -3%.
2008,1,-8.7,15,8.5,250,95,95,Deep cuts; $13B severance (aggregate).
2009,1,-6.2,5,6.3,200,72,72,Trough; consulting dips post-spike.
2010,0,-1.0,12,3.0,110,50,50,Rebound; repeats begin (30% cutters).
2011,0,1.5,8,2.2,85,35,35,Stable.
2012,0,0.8,9,2.5,95,38,38,Low vol.
2013,0,2.2,6,1.8,65,30,30,Expansion.
2014,0,1.9,7,2.0,75,33,33,Pre-oil crash.
2015,0,0.3,11,2.8,100,45,45,Consulting up on energy.
2016,0,-1.2,9,3.1,105,42,42,Early cuts.
2017,0,1.1,5,1.9,55,25,25,Trump boom.
2018,0,2.5,8,2.3,80,35,35,Growth.
2019,0,1.0,12,3.5,120,48,48,Pre-COVID consulting spike.
2020,1,-7.4,15,7.2,220,88,88,Pandemic; Accenture/McKinsey rev +15%; Fortune -8%.
2021,0,3.2,20,4.0,140,55,55,Rebound hiring.
2022,0,1.8,10,3.8,130,45,45,Inflation buildup.
2023,0,-4.5,18,5.5,190,75,75,Tech cuts; consulting +18% on restructurings; 50% repeats.
2024,0,-2.8,12,4.2,160,62,62,"""Rebalancing"" pattern; McKinsey -10% headcount."
2025,0,-1.5,14,3.9,145,55,55,Current; tariffs/shutdown signal; Fortune stable 31M but vol +10%.
2026,1,-3.2,16,5.2,175,80,80,Predicted spike on tariffs/shutdown; Recession prob 0.62; headcount extrapolated decline.
2027,1,-5.1,20,7.1,210,92,92,Recession peak; consulting surge on mass restructurings; repeats +50%.
2028,0,-2.8,13,5.8,185,85,85,"Post-peak decline; early recovery, but lingering cuts."
2029,0,-0.9,10,4.5,155,65,65,Stabilization; consulting normalizes; low vol.
2030,0,0.5,8,3.8,135,50,50,Expansion resumption; historical pattern post-recession.