Date/Period,Description & Facts,U.S. President (if applicable) & Party,Political Party Role,Heroes,Heroes' Party,Villains,Villains' Party,Scapegoats,Scapegoats' Party
1215,"Magna Carta (Global precursor): Limited monarch's power; early protections against arbitrary arrest/trial, influencing U.S. Bill of Rights.",N/A,N/A,King John (forced signer); Barons who demanded reforms.,N/A,N/A,N/A,"Feudal subjects (serfs, early ""outsiders"").",N/A
1692–1693,"Salem Witch Trials: 20 executed, 200+ accused in Puritan Massachusetts; mass hysteria led to spectral evidence trials. Exposed flaws in due process.",N/A (Colonial era),N/A,"Rev. Increase Mather (criticized trials, helped end them).",N/A,Judges like William Stoughton (enforced spectral evidence); Rev. Samuel Parris (fueled accusations).,N/A,"Accused women (e.g., Tituba, an enslaved woman; Bridget Bishop, independent widow) blamed for community ills.",N/A
1776–1787,"U.S. Declaration of Independence & Constitution: Declared ""all men created equal"" but excluded women/slaves; set stage for amendments expanding rights.",N/A (Founding era),Emerging parties: Federalists (pro-central gov't).,"Thomas Jefferson (author, despite slaveholding hypocrisy).",Democratic-Republican (D-R),"Slaveholders among Founders (e.g., Jefferson).",D-R,"Enslaved Africans, Native Americans (denied citizenship).",N/A
1789,French Revolution & Declaration of the Rights of Man: Emphasized liberty/equality; inspired U.S. abolitionists.,"George Washington (R, no formal party)",N/A,Marquis de Lafayette (key drafter).,N/A,Monarch Louis XVI.,N/A,Aristocracy (scapegoated for economic woes).,N/A
1800s (ongoing),Slavery & Abolition Movement: Transatlantic slave trade peaked; U.S. enslaved ~4M by 1860.,"Various (e.g., Jefferson, D-like; Monroe, D-R).",Democrats: Pro-slavery South; Whigs/early Republicans: Anti-expansion.,"Frederick Douglass (escaped slave, orator); Harriet Tubman (Underground Railroad).",Republican (Douglass); N/A (Tubman),Plantation owners; Fugitive Slave Act enforcers.,Democrat (Southern),"Enslaved Black people (blamed for ""moral decay"").",N/A
1861–1865,"U.S. Civil War & Emancipation Proclamation: War killed 620K; Proclamation freed 3.5M slaves in Confederate states (Jan. 1, 1863).",Abraham Lincoln (R),Republicans: Led abolition; Democrats: Split (Southern pro-slavery).,Lincoln; Union Gen. Ulysses S. Grant.,Republican,Confederate Pres. Jefferson Davis (D).,Democrat,Slaves (used as war justification scapegoats).,N/A
1865–1870,13th–15th Amendments & Reconstruction: Ended slavery; granted citizenship/voting to Black men. ~2K Black officeholders.,"Andrew Johnson (D, post-Lincoln); Ulysses S. Grant (R).",Republicans: Pushed amendments; Democrats: Southern resistance (Black Codes).,"Thaddeus Stevens (R Congressman, radical reformer).",Republican,Johnson (vetoed rights bills); KKK founders.,Democrat (Johnson); N/A (KKK),"Freed Black people (lynched as ""threats"").",N/A
1896,"Plessy v. Ferguson: Upheld ""separate but equal"" segregation; reversed Reconstruction gains.","Grover Cleveland (D, prior); William McKinley (R).",Democrats: Southern Jim Crow enforcers; Republicans: Northern support waned.,N/A (loss for rights).,N/A,Supreme Court majority.,N/A,"Black Americans (segregated as ""inferior"").",N/A
1920,19th Amendment (Women's Suffrage): Women gain vote after Seneca Falls (1848) & decades of activism; global wave post-WWI.,Woodrow Wilson (D),Democrats: Mixed (Southern opposition); Republicans: Earlier support.,Susan B. Anthony; Alice Paul (hunger strikes).,N/A,"Anti-suffragists (e.g., Southern politicians).",Democrat (Southern),"Women (portrayed as ""unfit"" for politics).",N/A
1933–1945,"Holocaust (Global): Nazis murdered 6M Jews, 5M others (Roma, disabled, LGBTQ+, Poles). Key events: Nuremberg Laws (1935); Kristallnacht (1938); Wannsee Conference (1942); Auschwitz liberation (1945).","Franklin D. Roosevelt (D, 1933–1945)","U.S. Democrats: Delayed refugee aid (e.g., St. Louis ship turned away, 1939); isolationism. Global: Nazi Party (far-right).","Raoul Wallenberg (diplomat, saved 100K Jews); Oskar Schindler.",N/A,Adolf Hitler; Heinrich Himmler (SS leader).,Nazi Party,Jews (scapegoated for economic woes); LGBTQ+ (pink triangles in camps).,N/A
1948,Executive Order 9981 (Desegregate Military) & UDHR (Global): Truman ends military segregation; UN UDHR sets universal rights standard.,Harry S. Truman (D),Democrats: Truman's bold move alienated South.,Truman; A. Philip Randolph (threatened march).,Democrat (Truman); N/A (Randolph),Segregationist generals.,N/A,Black soldiers (denied equal service in WWII).,N/A
1954,Brown v. Board of Education: Ended school segregation; overturned Plessy.,Dwight D. Eisenhower (R),Republicans: Eisenhower enforced via troops; Democrats: Southern filibuster.,Thurgood Marshall (NAACP lawyer).,N/A,Segregationist Gov. Orval Faubus (D).,Democrat,"Black children (e.g., Little Rock Nine).",N/A
1955–1956,Montgomery Bus Boycott: Sparked by Rosa Parks' arrest; 381-day boycott desegregates buses.,Eisenhower (R),Bipartisan local pressure.,Rosa Parks; MLK Jr. (emerging leader).,N/A,Bus company; local police.,N/A,Black residents (boycotted for equality).,N/A
1963,"March on Washington & ""I Have a Dream"" Speech: 250K march; MLK's speech demands jobs/justice.",John F. Kennedy (D),Democrats: JFK proposed civil rights bill; Republicans: Supported.,MLK Jr.; Bayard Rustin (organizer).,N/A,FBI Director J. Edgar Hoover (spied on MLK).,N/A,"Black Americans (unemployed, disenfranchised).",N/A
1963–1964,"Assassination of JFK & Civil Rights Act: JFK killed Nov. 22; Act bans discrimination in public places/jobs (Jul. 2, 1964).","Lyndon B. Johnson (D, post-JFK)",Democrats: LBJ (Southern D) pushed it; 80% House Dems yes vs. 60% GOP. Republicans: Key cloture votes.,LBJ; Everett Dirksen (R Senate leader).,Democrat (LBJ); Republican (Dirksen),Southern Dems (filibuster); Barry Goldwater (R opponent).,Democrat; Republican,Minorities (denied access pre-Act).,N/A
1964–1965,"Freedom Summer & Voting Rights Act: Murders of activists; Act (Aug. 6, 1965) bans literacy tests, adds oversight.",LBJ (D),Democrats: LBJ signed; Republicans: Co-sponsored. Party realignment begins.,Fannie Lou Hamer (voter organizer); MLK.,N/A,Local KKK/Dem sheriffs.,Democrat (Southern),Black voters (suppressed via tests).,N/A
1965,"Selma Marches (""Bloody Sunday""): State troopers attack marchers; leads to Voting Rights Act.",LBJ (D),Bipartisan federal enforcement.,John Lewis (beaten leader); Amelia Boynton.,N/A,Gov. George Wallace (D segregationist).,Democrat,Black marchers (nonviolent scapegoats).,N/A
1968,MLK Assassination & Fair Housing Act: MLK killed Apr. 4; Act bans housing discrimination (Apr. 11). Riots in 100+ cities.,LBJ (D),Democrats: Passed post-assassination; Republicans: Supported.,MLK (Nobel 1964); Coretta Scott King.,N/A,James Earl Ray (assassin).,N/A,Black communities (blamed for unrest).,N/A
1969–1974,"Affirmative Action Expansion: Nixon's ""Philadelphia Plan"" (1969) sets minority hiring goals in federal contracts; strengthened under EEOC.",Richard Nixon (R),Republicans: Nixon supported as economic policy; Democrats: Mixed (unions resisted).,N/A (policy-driven).,N/A,"Unions; conservative critics (called it ""reverse discrimination"").",Democrat (unions); Republican (critics),"Minorities (hired but stigmatized as ""quotas"").",N/A
1973,Roe v. Wade (Women's Rights): Legalized abortion nationwide (overturned 2022); tied to bodily autonomy.,Nixon (R),Republicans: Mixed; Democrats: Pro-choice shift.,"Norma McCorvey (""Jane Roe"").",N/A,Anti-abortion groups.,N/A (varied),Women (control over bodies).,N/A
1985,AIDS Crisis & Reagan Response: ~700K U.S. deaths; delayed funding stigmatized LGBTQ+.,Ronald Reagan (R),Republicans: Slow response; Democrats: Pushed funding.,Larry Kramer (ACT UP founder).,N/A,Reagan admin (ignored early pleas).,Republican,"LGBTQ+ people (blamed as ""promiscuous"").",N/A
1993,"Don't Ask, Don't Tell (LGBTQ+ Military): Allowed gay service if closeted; repealed 2011.",Bill Clinton (D),Democrats: Compromise policy; Republicans: Opposed open service.,Tammy Baldwin (first out LGBTQ+ Congresswoman).,Democrat,Military brass (enforced secrecy).,N/A,Gay service members (forced out).,N/A
2003,Lawrence v. Texas: Struck down sodomy laws; decriminalized same-sex intimacy.,George W. Bush (R),Bipartisan ruling.,Lambda Legal (litigators).,N/A,State prosecutors.,N/A,LGBTQ+ couples (criminalized privacy).,N/A
2008,Proposition 8 (LGBTQ+ Setback): Banned same-sex marriage in CA; overturned 2015.,"George W. Bush (R, prior); Barack Obama (D)",Republicans: Backed bans; Democrats: Evolving support.,Gavin Newsom (defied ban).,Democrat,Mormon Church funders.,N/A,Same-sex couples (denied equality).,N/A
2010,Affordable Care Act (Affirmative Action Tie-In): Expanded healthcare; indirectly aided minorities via equity focus.,Obama (D),Democrats: Passed; Republicans: Opposed.,Obama; civil rights groups.,Democrat,GOP Congress (repeal attempts).,Republican,Uninsured minorities.,N/A
2013,Defense of Marriage Act Overturned: Windsor v. U.S. struck federal ban; path to Obergefell.,Obama (D),Democrats: Supported; Republicans: Defended DOMA.,Edie Windsor (plaintiff).,N/A,Bill Clinton (signed 1996).,Democrat,Same-sex spouses (denied benefits).,N/A
2015,Obergefell v. Hodges: Nationwide same-sex marriage (Jun. 26).,Obama (D),Democrats: Celebrated; Republicans: Dissenting justices.,Jim Obergefell (plaintiff).,N/A,Chief Justice Roberts (dissent).,N/A,LGBTQ+ couples (pre-marriage equality).,N/A
2015–Present,Black Lives Matter (BLM): Founded post-Trayvon Martin (2013); surged after George Floyd (2020). Protests in 2K+ cities; led to police reforms.,Obama (D) to Joe Biden (D),"Democrats: Ally (e.g., Biden's equity exec order); Republicans: ""Defund"" backlash.","Alicia Garza, Patrisse Cullors, Opal Tometi (founders); DeRay Mckesson.",N/A,Derek Chauvin (Floyd killer); police unions.,N/A,"Black people (e.g., Floyd, scapegoated via ""superpredator"" myths).",N/A
2020,"George Floyd Protests & Global Echoes: 15–26M U.S. participants; influenced global anti-racism (e.g., UK topple of slave trader statues).",Donald Trump (R),"Republicans: ""Law/order"" response; Democrats: Reform push.",Protesters; Breonna Taylor family.,N/A,Trump (called looters); police.,Republican (Trump); N/A (police),Black victims of violence.,N/A
2021,Executive Order on Advancing Racial Equity: Biden signs EO (Jan. 20) to embed equity in federal policy; reverses Trump-era bans on diversity training.,Joe Biden (D),"Democrats: Pushed equity; Republicans: Criticized as ""woke.""",Susan Rice (domestic policy advisor).,Democrat,Trump-era officials (banned training).,Republican,Minority communities (targeted by prior bans).,N/A
2022,"Dobbs v. Jackson: Overturned Roe v. Wade (Jun. 24); states ban abortion, impacting women’s autonomy.",Biden (D),Democrats: Opposed; Republicans: Celebrated.,Abortion rights activists.,N/A,"Supreme Court majority (Alito, Thomas).",N/A (judicial),Women (lost federal protections).,N/A
2023–2025,"Anti-Trans Legislation Surge: 500+ bills in states (e.g., bathroom bans, sports restrictions); 2024 saw 600+ introduced, per Trans Legislation Tracker.",Biden (D),Democrats: Opposed; Republicans: Led state-level bans.,"ACLU; trans activists (e.g., Laverne Cox).",N/A,"Republican state legislators (e.g., FL, TX).",Republican,"Transgender individuals (scapegoated as ""threats"" to norms).",N/A