Section,Row_ID,Date/Period,Description & Facts,U.S. President & Party,Political Party Role,Heroes,Heroes' Party,Villains,Villains' Party,Scapegoats,Scapegoats' Party,Year,Interval,Z_Score,Economic Influence,Elite Group Trace,Political Power Tie,Religious Influence,Feedback Loop (RE),Network Node (RE),"Diversion Score (1-5, RE)",Puppet Master Trace,Debt Impact (Wealth Transfer),Population Control Signal (1-5),Target Outcome,Missing Link?
Core Timeline,1,1215,Magna Carta: Limited monarch power; rights precursor.,N/A,N/A,King John/Barons,N/A,N/A,N/A,Feudal subjects,N/A,1215,0,-0.31,Feudal land profits.,Feudal barons.,Monarchy control.,Christian limits.,Challenge → shift → new elites.,Feudal net.,3 (Charter masks grabs).,N/A.,Low (land-based).,1 (class control).,Elite power shift.,Tithe flows to church.
Core Timeline,2,1692-1693,Salem Witch Trials: 20 executed; due process flaws.,N/A,N/A,Rev. Increase Mather,N/A,Judges/Parris,N/A,Accused women,N/A,1692,477,5.44,Trade profits ignore process.,Puritan elites.,Theocracy control.,Puritan theology.,Hysteria → executions → reset.,Puritan hierarchy.,4 (Trials divert land disputes).,N/A.,Low (local economy).,2 (gender scapegoating).,Social control via fear.,Economic envy triggers.
Core Timeline,3,30m,Slavery/Abolition: 4M enslaved; trade peak.,Various (D-R),Dems pro-South; Whigs anti.,Douglass/Tubman,R/N/A,Owners/enforcers,D,Enslaved Black,N/A,1800,108,0.97,Banker sugar profits.,German/Italian bankers.,Southern vote control.,Pro/anti-slavery Christians.,Trade → war → amendments.,Transatlantic finance.,4 (Abolition masks reparations skip).,Shells for trade.,High (~50% GDP).,3 (labor supply).,Slave labor wealth.,Reparations absence.
Core Timeline,4,1861-1865,Civil War/Emancipation: Freed 3.5M slaves.,Lincoln (R),Reps abolition; Dems split.,Lincoln/Grant,R,Jefferson Davis,D,Slaves,N/A,1861,61,0.43,Post-war economic gains.,Southern elites.,Union power.,Christian abolitionists.,War → freedom → Reconstruction.,Plantation net.,3 (War as freedom diverts elite losses).,N/A.,High (war debts).,2 (labor shift).,Union economic boost.,Post-war elite profits.
Core Timeline,5,1964-1965,Voting Rights Act: Bans literacy tests.,LBJ (D),Dems lead; Reps co-sponsor.,Hamer/MLK,N/A,KKK/sheriffs,D,Black voters,N/A,1964,103,0.91,Reduced suppression costs.,Southern resistors.,Federal override.,Black Christian activism.,Rights → backlash → realignment.,Civil rights net.,3 (Equity masks vote control).,N/A.,Medium (economic equity).,1 (voter access).,Voting power shift.,Funder roles in activism.
Core Timeline,6,2022,Dobbs v. Jackson: Overturns Roe; state bans.,Biden (D),Dems oppose; Reps celebrate.,Activists,N/A,Supreme majority,N/A,Women,N/A,2022,58,0.39,Healthcare costs rise.,Conservative funders.,State power shift.,Evangelical/Catholic ethics.,Advance → backlash → restrictions.,Conservative net.,3 (Life ethics diverts access).,Shells hide funds.,High (healthcare debt).,3 (maternal mortality).,Control women’s autonomy.,Clinic closure profits.
Core Timeline,7,2023-2025,Anti-Trans Surge: 600+ bills.,Biden (D),Dems oppose; Reps lead.,ACLU/Cox,N/A,Rep legislators,R,Trans individuals,N/A,2023,1,-0.30,Conservative funding.,Rep donors.,Cultural control.,Evangelical views.,Marriage rights → backlash → bills.,Rep base net.,4 (Youth protection diverts rights).,Corrupt donor shells.,Medium (healthcare access).,3 (trans youth limits).,Cultural labor control.,Pharma ties.
Modern Tests,8,2025 (Jun-Sep),Fed Stress Tests: Recession probes; banks sue.,Trump (R),Reps business-friendly; Dems scrutiny.,Bank advocates,N/A,Fed/banks,N/A,Banks/public,N/A,2025,2,-0.28,Capital volatility.,Bank elites/Fed.,Regulatory control.,Mixed (evangelical anti-reg?).,Tests → suits → elite relief.,Bank-Fed net.,5 (Transparency diverts capital hoards).,Shells hide losses.,High (bank debt control).,1 (no direct pop effect).,Bank capital stability.,Crypto link (EO overlap?).
Modern Tests,9,2025 (Jan-Aug),"Trump EOs: Crypto stockpiles, debanking, FCPA pause.",Trump (R),Reps deregulate; Dems warn.,Fintech advocates,N/A,Reg holdouts,N/A,Small banks/users,N/A,2025,0,-0.31,Digital asset booms.,Crypto elites.,Electoral appeal.,"Evangelical ""fair"" finance.",EOs → wealth transfer.,Trump-donor net.,4 (Fair banking diverts asset grabs).,Corrupt crypto shells.,Very High ($100B seized assets).,1 (labor access).,Elite wealth hoard.,Asset flow recipients.
Forecast Scenarios,10,2030,Voting Rights Act 2.0: Restores preclearance.,Future (D?),Dems push; Reps resist.,Voting groups,D,Rep states,R,Minority voters,N/A,2030,5,-0.25,Equity boosts GDP.,Philanthropic donors.,Federal power gain.,Interfaith equity.,Rights → backlash → new act.,Voting net.,3 (Equity diverts voter control).,Donor shells.,Medium (economic equity).,1 (voter access).,Reduce suppression.,Donor influence on Dems.
Forecast Scenarios,11,2032,Equality Act: Extends LGBTQ+ protections.,Future (D?),Dems lead; Reps religious exemptions.,ACLU/Jayapal,D,Rep governors,R,LGBTQ+ individuals,N/A,2032,2,-0.28,Equity in housing/jobs.,Progressive funders.,Federal override.,Progressive faiths.,Rights → backlash → act.,LGBTQ net.,3 (Equality diverts cultural power).,Shells fund resistance.,Medium (economic access).,2 (autonomy limits).,Expand social equity.,Religious funding scale.
Forecast Scenarios,12,2035,Reparations/Baby Bonds: Addresses wealth gap.,Future (D?),Dems push; Reps cost-based opposition.,Coates/heirs,D,Fiscal conservatives,R,Black communities,N/A,2035,3,-0.27,Closes $14T gap.,Government/philanthropists.,Federal fiscal power.,Mixed faith views.,Protests → policy → wealth shift.,Equity net.,4 (Equity diverts elite cost fears).,Shells hide wealth.,Very High (reparative debt).,1 (economic equity).,Narrow wealth gap.,Corporate resistance.
Forecast Scenarios,13,2032,Climate Migration Asylum: Recognizes climate refugees.,Future (D?),Dems/global push; Reps security.,UNHCR/Thunberg,N/A,Anti-immigration,R,Climate migrants,N/A,2032,-3,-0.33,Labor/economic shifts.,Global elites.,Geopolitical leverage.,Mixed (humanitarian faiths).,Migration → policy → labor control.,Global migration net.,4 (Asylum diverts labor control).,Shells fund border firms.,High (migration debt).,4 (displacement control).,Stabilize labor pool.,Elite border contracts.