Metric,Current (2025),Historical Avg (2000–20),Tipping Point (GFC),% to Tip,Rationale,Metric 4-2026,Current (2025),Historical Avg (2000–20),Tipping Point (GFC),% to Tip,Rationale,,,,,,
New Const Inv (Mo),7.4,4.5,8.0,75%,"Highest since 2008; 490K unsold, sales 800K SAAR (Census Aug). >8mo = builder defaults +10%.",New Const Inv (Mo),8.2 Months,4.5,8.0,102%,CRITICAL: Surpassed GFC peak; builder defaults rising.,,,,,,
Resale Inv (Mo),4.6,3.8,6.0,50%,"Sales 4M SAAR, median $422K (NAR Aug); glut risks -5% prices if >6mo.",,,,,,,,,,,,
Median New Price,"US$413,500.00","US$250,000.00","$350,000 (adj)",85%,+65% since 2000; affordability crush (mortgage 7%).,Median New Price,"US$418,200.00","US$250,000.00","US$350,000.00",119%,Affordability remains crushed by 7% rates.,,,,,,
CC Debt (T),US$1.21,$0.770 (2021 low),$1.211 (peak),99%,"+57% since 2021; avg $6,371, APR 22.83% (Fed Q2).",CC Debt (T),$1.34 Trillion,$0.77 (2021),US$1.21,110%,CRITICAL: Record high; +11% YoY (Fed Q1 2026).,,,,,,
HELOC Bal (Avg),"US$45,000.00","US$30,000.00","US$50,000.00",75%,+9.7% YoY; taps $30T equity but risks reset defaults (Fed).,HELOC Bal (Avg),"US$49,800.00","US$30,000.00","US$50,000.00",99%,WARNING: Tapping equity to pay daily costs.,,,,,,
DTI Ratio (%),11.2,9.5,12.0,70%,Debt service 11.2% disposable inc; >12% = GFC cascade.,DTI Ratio (%),11.8%,9.5,12.0,98%,"Almost at the 12% ""cascade"" point.",,,,,,
CC Delinq (30+ %),8.58,4.0,9.0,86%,Subprime +63% since 2021; 47% carry bal (NY Fed).,CC Delinq (30+ %),9.4%,4.0,9.0,104%,CRITICAL: Highest since 2009; subprime at 12%+.,,,,,,
Gas ($/Gal),US$3.50,US$2.50,US$4.00,67%,+40% since 2020; middle-class commute hit (BLS Aug).,Gas ($/Gal),US$3.82,US$2.50,US$4.00,88%,Up from $3.50; tightening middle-class commute.,,,,,,
Food (Mo/HH),US$609.00,US$500.00,US$700.00,55%,+22% since 2021; staples +0.6% Aug (BLS).,,,,,,,,,,,,
Health Ins (Mo),US$513.00,US$400.00,US$600.00,56%,+28% since 2020; out-of-pocket +15% (BLS).,,,,,,,,,,,,
Daycare (Mo),"US$1,490.00","US$1,000.00","US$2,000.00",73%,+49% decade; 71% cite as wealth barrier (NFCC).,Daycare (Mo),"US$1,620.00","US$1,000.00","US$2,000.00",81%,Inflation stickiness in service sectors.,,,,,,
Car Ins (Yr),"US$1,575.00","US$1,200.00","US$2,000.00",75%,+31% since 2020; premiums +10% YoY.,,,,,,,,,,,,
Taxes (% Inc),15–20,12–15,20+,60%,Fed/state; middle bracket 22% effective.,,,,,,,,,,,,
Real Wage Chg (%),-0.7 (net),1.0,-2.0 (recess),65%,"Nom +4.2%, inf 2.7%; 43% lag (USAFacts Jul).",Real Wage Chg (%),-0.9% (net),1.0,-2.0,90%,"Nominal raises (4%) losing to ""sticky"" costs.",,,,,,
Savings Rate (%),3.2,5.0,2.0 (GFC),60%,<3mo funds 62%; depletion +20% YoY.,Savings Rate (%),2.8%,5.0,2.0,84%,WARNING: Savings burn is accelerating.,,,,,,
Afford Index (DTI>36%),36,28,40,67%,Middle-class threshold; housing/debt push.,,,,,,,,,,,,
COL Index (Nat Avg),100,90,110,50%,Up 22.7% 2021–25; 40 states >100.,,,,,,,,,,,,
Millionaire Cash Trap %,33 (new since 2017),N/A,50 (illiquid),66%,"24M HH, wealth locked in assets (Bloomberg Oct).",Millionaire Trap %,38%,N/A,50 (Illiquid),76%,Wealth locked in homes; 4-mo depletion risk.,,,,,,